 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 114   1     0.01   0.00  -0.03     0.01   0.00   0.00    -0.00  -0.00  -0.01
 115   1    -0.02  -0.01   0.02     0.03   0.02  -0.05    -0.01   0.00  -0.00
 116   1    -0.02  -0.01   0.01     0.03   0.02  -0.04    -0.01   0.00  -0.01
 117   6     0.01  -0.01  -0.00     0.00  -0.02   0.00    -0.12   0.02   0.03
 118   6    -0.03  -0.01  -0.00     0.02  -0.02   0.02    -0.12   0.02   0.03
 119   6    -0.08  -0.01  -0.00     0.03  -0.02   0.03    -0.12   0.02   0.04
 120   6    -0.13  -0.01   0.00     0.06  -0.02   0.03    -0.18   0.02   0.05
 121   6    -0.18  -0.00   0.00     0.08  -0.02   0.03    -0.18   0.03   0.05
 122   6    -0.19   0.01  -0.00     0.06  -0.02   0.04    -0.14   0.02   0.04
 123   6    -0.14   0.01  -0.01     0.04  -0.03   0.04    -0.09   0.01   0.03
 124   6    -0.14   0.02  -0.01     0.02  -0.03   0.05    -0.05   0.00   0.02
 125   6    -0.09   0.02  -0.02    -0.00  -0.03   0.05    -0.00  -0.00   0.02
 126   7    -0.05   0.01  -0.01    -0.02  -0.03   0.04     0.01  -0.01   0.02
 127   6    -0.04  -0.00  -0.01    -0.00  -0.02   0.04    -0.03  -0.00   0.03
 128   6    -0.09   0.00  -0.00     0.02  -0.02   0.04    -0.08   0.01   0.03
 129   1    -0.04  -0.00   0.00     0.02  -0.00   0.01    -0.06   0.01   0.02
 130   1    -0.06  -0.00   0.00     0.03  -0.00   0.01    -0.07   0.01   0.02
 131   1    -0.07   0.00  -0.00     0.02  -0.01   0.01    -0.04   0.01   0.01
 132   1    -0.05   0.01  -0.00     0.01  -0.01   0.01    -0.02   0.00   0.01
 133   1    -0.03   0.01  -0.01    -0.00  -0.01   0.02     0.01  -0.00   0.00
 134   1    -0.00  -0.00  -0.00    -0.00  -0.01   0.01    -0.01  -0.00   0.01
 135   6     0.06  -0.00  -0.01    -0.03  -0.02  -0.01    -0.11   0.02   0.02
 136   6     0.13   0.00  -0.01    -0.10  -0.01  -0.01    -0.13   0.02   0.02
 137   6     0.18   0.01  -0.01    -0.13  -0.02  -0.03    -0.12   0.02   0.01
 138   6     0.16   0.01  -0.01    -0.09  -0.03  -0.04    -0.10   0.02   0.00
 139   6     0.09   0.00  -0.00    -0.01  -0.03  -0.05    -0.08   0.01   0.01
 140   6     0.04  -0.00  -0.00     0.02  -0.03  -0.03    -0.09   0.01   0.02
 141   1     0.04   0.00  -0.01    -0.04  -0.00   0.00    -0.04   0.01   0.01
 142   1     0.07   0.00  -0.01    -0.05  -0.00  -0.01    -0.04   0.01   0.00
 143   1     0.06   0.01  -0.00    -0.03  -0.01  -0.02    -0.03   0.01  -0.00
 144   1    -0.00  -0.00   0.00     0.02  -0.01  -0.01    -0.02   0.00   0.00
 145   6     0.07   0.01   0.00     0.03  -0.04  -0.06    -0.06   0.01  -0.00
 146   6     0.11  -0.01  -0.02    -0.01  -0.03  -0.04    -0.05   0.01  -0.00
 147   6     0.09  -0.01  -0.01     0.01  -0.02  -0.04    -0.03   0.00  -0.01
 148   7     0.03   0.01   0.01     0.08  -0.04  -0.07    -0.03   0.00  -0.02
 149   6    -0.01   0.02   0.04     0.12  -0.05  -0.10    -0.03   0.00  -0.02
 150   6     0.01   0.02   0.03     0.10  -0.06  -0.10    -0.05   0.01  -0.01
 151   1     0.04  -0.01  -0.01    -0.02  -0.00  -0.00    -0.02   0.00  -0.00
 152   1     0.03  -0.00  -0.01    -0.00  -0.00  -0.01    -0.01   0.00  -0.00
 153   1    -0.01   0.01   0.02     0.05  -0.02  -0.04    -0.01   0.00  -0.01
 154   1    -0.01   0.01   0.02     0.04  -0.02  -0.04    -0.02   0.00  -0.00
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    10.3010                10.8077                16.8462
 Red. masses --    17.7449                15.7072                11.3837
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.4821                 0.4061                 0.1432
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1  46     0.13  -0.00  -0.13     0.10   0.00   0.10    -0.02  -0.02  -0.02
   2  46     0.13  -0.00  -0.13     0.11  -0.00   0.11    -0.03   0.00  -0.03
   3   6     0.03   0.02   0.09     0.05  -0.01  -0.11    -0.02  -0.01   0.05
   4   6     0.03   0.02   0.09     0.05  -0.01  -0.12    -0.02  -0.01   0.01
   5   6     0.04   0.02   0.09     0.04  -0.01  -0.14    -0.02  -0.01  -0.03
   6   6     0.04   0.03   0.13     0.04  -0.00  -0.20    -0.02  -0.01  -0.06
   7   6     0.05   0.03   0.12     0.03  -0.00  -0.22    -0.02  -0.00  -0.10
   8   6     0.06   0.02   0.08     0.02  -0.00  -0.17    -0.02  -0.00  -0.10
   9   6     0.06   0.02   0.04     0.03  -0.00  -0.11    -0.02  -0.00  -0.07
  10   6     0.07   0.01   0.00     0.02  -0.00  -0.06    -0.02   0.00  -0.07
  11   6     0.06   0.01  -0.03     0.02  -0.00   0.00    -0.02  -0.00  -0.04
  12   7     0.05   0.00  -0.03     0.04  -0.01   0.02    -0.02  -0.01  -0.02
  13   6     0.04   0.01   0.01     0.04  -0.01  -0.02    -0.02  -0.01  -0.01
  14   6     0.04   0.01   0.05     0.04  -0.00  -0.09    -0.02  -0.01  -0.04
  15   1     0.01   0.01   0.05     0.01  -0.00  -0.07    -0.00  -0.00  -0.02
  16   1     0.02   0.01   0.04     0.01  -0.00  -0.08    -0.01  -0.00  -0.04
  17   1     0.02   0.01   0.02     0.00   0.00  -0.05    -0.01   0.00  -0.04
  18   1     0.02   0.00  -0.00     0.00   0.00  -0.02    -0.01   0.00  -0.03
  19   1     0.02   0.00  -0.02     0.00  -0.00   0.01    -0.01   0.00  -0.01
  20   1     0.01   0.00   0.00     0.01  -0.00  -0.00    -0.00  -0.00   0.00
