 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  75   1    -0.00  -0.00   0.07     0.00  -0.00  -0.04    -0.01   0.00   0.04
  76   1    -0.00  -0.00   0.08     0.00  -0.00  -0.02    -0.00   0.00   0.02
  77   1    -0.00  -0.00   0.05     0.00  -0.00  -0.00    -0.00   0.00  -0.01
  78   1    -0.00  -0.00   0.00     0.00  -0.00  -0.00    -0.01   0.00  -0.01
  79   6    -0.01  -0.01  -0.01    -0.00   0.00  -0.15     0.00   0.00   0.16
  80   6    -0.02  -0.02  -0.06    -0.02   0.01  -0.22     0.03  -0.01   0.24
  81   6    -0.02  -0.03  -0.11    -0.03   0.01  -0.24     0.05  -0.01   0.27
  82   6    -0.01  -0.02  -0.12    -0.02   0.00  -0.19     0.04  -0.00   0.21
  83   6    -0.00  -0.00  -0.07     0.00  -0.00  -0.13     0.00   0.01   0.13
  84   6     0.00   0.00  -0.02     0.01  -0.00  -0.11    -0.01   0.01   0.10
  85   1    -0.01  -0.01  -0.01    -0.01   0.00  -0.07     0.01  -0.00   0.08
  86   1    -0.01  -0.01  -0.04    -0.01   0.00  -0.08     0.02  -0.00   0.10
  87   1    -0.00  -0.01  -0.05    -0.01   0.00  -0.06     0.01  -0.00   0.07
  88   1     0.00   0.00   0.00     0.01  -0.00  -0.02    -0.01   0.01   0.01
  89   6     0.01   0.01  -0.08     0.01  -0.00  -0.09    -0.01   0.02   0.07
  90   6     0.03   0.02  -0.12     0.03  -0.01  -0.10    -0.03   0.02   0.08
  91   6     0.04   0.03  -0.12     0.04  -0.01  -0.06    -0.04   0.03   0.02
  92   6     0.03   0.02  -0.08     0.03  -0.01  -0.01    -0.03   0.03  -0.04
  93   7     0.01   0.01  -0.05     0.01  -0.01  -0.00    -0.00   0.03  -0.06
  94   6     0.00   0.00  -0.04     0.00  -0.01  -0.04     0.01   0.02  -0.00
  95   1     0.01   0.01  -0.04     0.01  -0.00  -0.04    -0.01   0.01   0.04
  96   1     0.01   0.01  -0.04     0.02  -0.00  -0.02    -0.02   0.01   0.01
  97   1     0.01   0.01  -0.02     0.01  -0.00   0.01    -0.01   0.01  -0.03
  98   1    -0.00  -0.00  -0.00    -0.00  -0.00  -0.01     0.01   0.01  -0.00
