Entry,Index,NAME,Query,Fragment,ANG1,ANG2,ANG3,ANG4,DIST1,DIST2,DIST3,DIST4,NNNN,PDPL1,PDPL2,PDPL3,PDPL4,V1,V2,abs(N1_PLA),abs(N2_PLA),abs(N3_PLA),abs(N4_PLA),abs(PD_PLA)
npd_t4_aromatic|MAMDAH01|86,87,MAMDAH01,1,1,178.375,89.832,176.825,91.601,2.035,2.034,2.027,2.036,176.743,88.25,88.488,89.882,87.674,88.549,90.024,0.034,0.023,0.023,0.035,0.022
npd_t4_aromatic|MERZIV|87,88,MERZIV,1,1,90.674,177.688,91.859,176.758,2.023,2.026,2.028,1.997,0.453,83.286,88.24,88.405,88.714,91.337,86.119,0.003,0.002,0.008,0.008,0.012
npd_t4_aromatic|MERZIV|88,89,MERZIV,1,2,90.114,179.245,89.77,178.122,1.998,2.026,2.004,2.008,-1.008,87.957,85.892,86.347,89.07,90.51,89.592,0.017,0.016,0.009,0.009,0.016
npd_t4_aromatic|MERZIV|89,90,MERZIV,1,3,90.585,178.287,90.656,178.443,1.998,2.054,2.038,2.012,-0.128,88.575,82.141,88.303,85.465,88.111,90.629,0.002,0.002,0.005,0.005,0.015
npd_t4_aromatic|MERZIV|90,91,MERZIV,1,4,89.013,175.056,92.356,179.144,2.023,2.032,1.999,2.012,-2.193,85.626,89.204,86.817,88.24,86.863,91.784,0.021,0.024,0.031,0.031,0.017
npd_t4_aromatic|NEGNOE|91,92,NEGNOE,1,1,85.812,97.407,80.999,95.818,1.99,2.005,1.967,1.987,1.873,89.744,88.93,87.724,84.467,176.425,177.937,0.025,0.025,0.024,0.026,0.002
npd_t4_aromatic|NEGNOE|92,93,NEGNOE,1,2,87.105,98.05,80.183,94.66,1.978,2.005,1.976,1.982,0.668,84.587,86.549,80.93,85.398,174.728,178.233,0.007,0.011,0.006,0.011,0.008
npd_t4_aromatic|NEGNOE|93,94,NEGNOE,1,3,86.842,95.397,82.388,95.372,2.033,2.024,1.966,2.003,0.675,86.517,87.693,81.735,88.741,177.76,177.549,0.011,0.007,0.011,0.007,0.008
npd_t4_aromatic|NEGNOE|94,95,NEGNOE,1,4,86.824,176.28,81.028,174.192,1.976,2.017,1.973,2.003,-4.384,83.437,85.769,85.645,87.793,94.206,98.143,0.059,0.057,0.056,0.063,0.003
npd_t4_aromatic|NEGNOE|95,96,NEGNOE,1,5,88.267,94.869,81.461,95.516,1.971,2.027,1.971,2.0,-3.956,88.069,87.272,89.126,89.27,174.342,176.029,0.049,0.057,0.045,0.061,0.023
npd_t4_aromatic|NEGNOE|96,97,NEGNOE,1,6,86.351,97.214,80.179,96.254,1.99,1.983,1.951,1.995,0.229,87.507,89.189,87.683,85.863,176.395,177.388,0.002,0.004,0.002,0.004,0.005
npd_t4_aromatic|NELQIG01|97,98,NELQIG01,1,1,100.964,81.035,100.467,81.158,2.047,2.049,2.032,2.037,-21.798,82.414,82.56,84.951,83.848,165.849,165.463,0.256,0.253,0.255,0.255,0.003
npd_t4_aromatic|NOXXON|98,99,NOXXON,1,1,80.292,101.817,80.233,102.351,2.031,2.03,2.029,2.031,20.515,79.54,80.554,80.535,79.601,164.271,163.094,0.29,0.285,0.291,0.287,0.008
npd_t4_aromatic|OBEJOV|99,100,OBEJOV,1,1,80.782,147.847,80.782,164.145,2.036,2.042,2.042,2.036,-29.072,79.968,72.075,72.075,79.968,103.685,103.685,0.395,0.395,0.452,0.452,0.114
