 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  50   7    -0.04  -0.01  -0.02    -0.06   0.00   0.02     0.07  -0.00  -0.04
  51   6    -0.00  -0.01  -0.02    -0.07  -0.00   0.01     0.02   0.01  -0.04
  52   6    -0.00  -0.01  -0.02    -0.10  -0.01   0.01    -0.01   0.01  -0.04
  53   1     0.02  -0.00  -0.01    -0.05  -0.01   0.00    -0.04   0.01  -0.01
  54   1    -0.00  -0.00  -0.01    -0.06  -0.01   0.01    -0.03   0.01  -0.02
  55   1    -0.02  -0.00  -0.01    -0.06  -0.01   0.01     0.00   0.01  -0.02
  56   1    -0.03  -0.00  -0.01    -0.04  -0.00   0.01     0.03   0.00  -0.02
  57   1    -0.03  -0.00  -0.01    -0.02   0.00   0.01     0.04  -0.00  -0.02
  58   1     0.01  -0.00  -0.01    -0.01  -0.00   0.00     0.00   0.00  -0.01
  59   6     0.15   0.01  -0.04    -0.03  -0.00   0.01    -0.17   0.01  -0.01
  60   6     0.23   0.02  -0.07    -0.03   0.01   0.01    -0.25   0.00   0.02
  61   6     0.26   0.02  -0.09     0.00   0.01   0.01    -0.27   0.00   0.04
  62   6     0.21   0.02  -0.08     0.02   0.01   0.01    -0.21   0.00   0.03
  63   6     0.13   0.01  -0.05     0.01  -0.00   0.01    -0.13   0.01  -0.00
  64   6     0.10   0.00  -0.03    -0.01  -0.01   0.01    -0.11   0.01  -0.02
  65   1     0.08   0.01  -0.02    -0.01   0.00   0.00    -0.08   0.00   0.01
  66   1     0.09   0.01  -0.03     0.00   0.01   0.00    -0.10  -0.00   0.02
  67   1     0.07   0.01  -0.03     0.01   0.00   0.00    -0.07   0.00   0.01
  68   1     0.01  -0.00  -0.00    -0.01  -0.01   0.00    -0.01   0.00  -0.01
  69   6     0.08   0.01  -0.04     0.03  -0.01   0.01    -0.07   0.01  -0.01
  70   6     0.12   0.00  -0.03     0.04  -0.01   0.02    -0.08   0.01  -0.02
  71   6     0.08   0.00  -0.03     0.05  -0.01   0.02    -0.03   0.01  -0.02
  72   7     0.00   0.01  -0.04     0.04  -0.02   0.02     0.03   0.00  -0.02
  73   6    -0.04   0.01  -0.05     0.03  -0.01   0.01     0.05   0.00  -0.01
  74   6    -0.00   0.02  -0.05     0.02  -0.01   0.01     0.00   0.00  -0.00
  75   1     0.05  -0.00  -0.01     0.01  -0.00   0.00    -0.04   0.00  -0.01
  76   1     0.03  -0.00  -0.01     0.02  -0.00   0.01    -0.01   0.00  -0.01
  77   1    -0.03   0.01  -0.01     0.01  -0.00   0.00     0.03  -0.00  -0.00
  78   1    -0.01   0.01  -0.02     0.00  -0.00   0.00     0.01   0.00   0.00
