name,ds_O_b97_gas,ds_pbe_cfm,ds_mp2_gas,ds_pbe_gas,ds_mp2_dcm,ds_mp2_cfm,xtbgas,ds_pbe_dcm,ds_O_mp2_gas,xtbchcl3
3_alde1_6_ami3_2,-0.005773040274006134,-0.005367617477531894,0.0009867317224032173,-0.0047558611669147564,0.0018993859667817662,0.0017499462888331942,-0.015104947319773347,-0.005473048511097052,-0.01259100372145541,-0.01384165236278376
4_alde1_6_ami3_1,-0.0034728755494294696,-0.003452897866585166,0.0011730996668575244,-0.0022093815001274684,0.0012621761334988453,0.0012564149000506102,-0.01426391255466323,-0.0036905122334095117,-0.009895181412275633,-0.012553378932755285
1_alde1_2_ami4_1,-0.0030782987140014484,-0.010656466699970224,0.001198478499986777,-0.009703994999938459,0.0016943338000032782,0.0016081298999210958,-0.04234987584600347,-0.010829206399989744,-0.014286312537990398,-0.0404121825609991
1_alde1_2_ami4_2,-0.003157527200585264,-0.0030133991999719,0.0015960480000103416,-0.0016583819999027583,0.0013189183000008597,0.0013847433999103487,-0.014774564115000999,-0.0032830554000042866,-0.007814062904969887,-0.014670117083003475
1_alde1_3_ami4_1,-0.0017016347460412362,-0.009551122366625956,0.0016909971666336787,-0.00875160883318434,0.00222393363340719,0.0021484080665838214,-0.04136375210432656,-0.009709480399957707,-0.013131265880322948,-0.03959084585366668
1_alde1_3_ami4_2,0.001011534346010497,0.0007347726333743291,0.005372027166686166,0.002041776166758306,0.005205946633320006,0.005228212399894498,-0.01197218995999568,0.000499054933319106,-0.003898076584998004,-0.011729556234001848
2_alde1_3_ami4_1,-0.0022389465734249823,-0.00298942449999231,0.006409250099977726,-0.0018913712999619747,0.006646933299998636,0.00660809119995065,-0.020635287536993018,-0.003190180399951714,-0.00956265702920973,-0.018242820140008574
2_alde1_3_ami4_2,-0.0020583981498020877,-0.0017039445000136765,0.004356244099972173,-0.0005253532999631716,0.004441691300007733,0.004416667199939184,-0.014159177824996049,-0.0019097783999313834,-0.007719579255444841,-0.012418337210607432
2_alde1_4_ami4_1,-0.001183111700849319,-0.003698335700012952,0.005485965166637167,-0.0024915774999575055,0.005613364633328881,0.00561221106662894,-0.023184776254161932,-0.003946634399918973,-0.00952892753764445,-0.020958331527841285
2_alde1_4_ami4_2,-0.0019443615570177524,-0.0017258940333325274,0.004088543499960906,-0.0004712124999741718,0.004034312966685623,0.004051049399966662,-0.013677751023161969,-0.0019663177332631676,-0.007543896523505585,-0.012237908304006359
3_alde1_4_ami4_1,-0.0026326943399226366,-0.0023071999498256446,0.004679160750072242,-0.0013125642500995127,0.005058984175093428,0.004999736400009169,-0.014423057737875666,-0.0024906920248781717,-0.00885090212563,-0.011829070526879093
3_alde1_5_ami4_1,-0.0031846487504481047,-0.003791659033140604,0.004411260722362285,-0.002795875833473676,0.004729061633447095,0.004682864622231541,-0.017768056620888553,-0.003979890066552293,-0.00997393941527965,-0.015197470502891343
3_alde1_5_ami4_2,-0.0017889055595535159,-0.0016858701442288293,0.003859328500109566,-0.00039782805571222625,0.003752988300119695,0.0037842757333237387,-0.013785991054220403,-0.0019383322887733812,-0.007304984944463892,-0.0119938398076695
3_alde1_6_ami4_1,-0.004754177169262321,-0.006988369033074883,0.00340870127795117,-0.0063417613890427065,0.004214427966821354,0.004097991622226497,-0.024899824766556042,-0.007122052733191392,-0.013204051002806713,-0.02214361259355731
3_alde1_6_ami4_2,-0.004333941711340433,-0.004054674588638186,0.003885944611283776,-0.003192518055736097,0.004348681300143653,0.004282942733324389,-0.01563843113566716,-0.004219487177629667,-0.010126360226776241,-0.013658327682890103
4_alde1_6_ami4_1,-0.003183523221499248,-0.0032521156997897074,0.0009729426668627639,-0.0020624158335067477,0.0010430826334489514,0.0010340755666220502,-0.014365788636164703,-0.0034751795665594423,-0.008565259728281186,-0.012661263631336794
